=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
D    |   23.934 |   12.923 |   12.877 |   12.902 |   17.907 |   13.581 |   17.994 |   17.884 |   17.876 |   23.971 |   24.034 |   23.927 ||  -46.01  -46.20  -46.09  -25.18  -43.25  -24.82  -25.28  -25.31   +0.16   +0.42   -0.03
E    |   25.800 |   15.462 |   14.831 |   14.726 |   17.891 |   15.559 |   17.991 |   17.872 |   17.877 |   25.805 |   25.762 |   25.752 ||  -40.07  -42.51  -42.92  -30.66  -39.69  -30.27  -30.73  -30.71   +0.02   -0.15   -0.18
F    |   27.134 |   25.432 |   22.327 |   21.047 |   22.002 |   23.247 |   23.931 |   23.927 |   23.879 |   27.077 |   27.131 |   27.114 ||   -6.27  -17.71  -22.43  -18.91  -14.32  -11.80  -11.82  -12.00   -0.21   -0.01   -0.07
R1   |   27.427 |   28.839 |   27.310 |   26.122 |   26.224 |   27.241 |   27.278 |   27.219 |   27.153 |   27.227 |   27.259 |   27.242 ||   +5.14   -0.43   -4.76   -4.39   -0.68   -0.54   -0.76   -1.00   -0.73   -0.62   -0.67
R2   |   26.941 |   29.323 |   26.833 |   25.286 |   25.435 |   26.796 |   26.797 |   26.778 |   26.725 |   26.767 |   26.867 |   26.827 ||   +8.84   -0.40   -6.14   -5.59   -0.54   -0.54   -0.60   -0.80   -0.64   -0.28   -0.42
R3   |   26.639 |   29.491 |   26.440 |   24.827 |   24.964 |   26.518 |   26.537 |   26.508 |   26.478 |   26.489 |   26.552 |   26.572 ||  +10.71   -0.75   -6.80   -6.29   -0.45   -0.38   -0.49   -0.60   -0.56   -0.33   -0.25
R4   |   26.436 |   29.599 |   26.315 |   24.524 |   24.670 |   26.378 |   26.381 |   26.353 |   26.309 |   26.341 |   26.416 |   26.410 ||  +11.97   -0.46   -7.23   -6.68   -0.22   -0.21   -0.31   -0.48   -0.36   -0.07   -0.10
R6   |   26.160 |   30.881 |   26.147 |   23.967 |   24.091 |   26.102 |   26.060 |   26.075 |   26.066 |   26.087 |   26.142 |   26.127 ||  +18.04   -0.05   -8.39   -7.91   -0.22   -0.38   -0.33   -0.36   -0.28   -0.07   -0.13
=== process order2.3
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   28.570 |   24.553 |   23.897 |   24.268 |   24.469 |   24.885 |   24.733 |   24.621 |   24.581 |   28.695 |   28.759 |   28.473 ||  -14.06  -16.36  -15.06  -14.35  -12.90  -13.43  -13.82  -13.96   +0.44   +0.66   -0.34
B    |   61.927 |   59.402 |   58.938 |   59.088 |   59.954 |   59.693 |   59.419 |   59.394 |   59.396 |   61.936 |   62.099 |   61.922 ||   -4.08   -4.83   -4.58   -3.19   -3.61   -4.05   -4.09   -4.09   +0.01   +0.28   -0.01
C    |   38.021 |   36.060 |   35.989 |   35.920 |   36.273 |   36.523 |   36.238 |   36.236 |   36.233 |   38.081 |   38.271 |   38.074 ||   -5.16   -5.35   -5.53   -4.60   -3.94   -4.69   -4.70   -4.70   +0.16   +0.66   +0.14
D    |   23.958 |   12.922 |   12.884 |   12.902 |   17.898 |   13.587 |   17.997 |   17.881 |   17.880 |   23.974 |   24.019 |   23.927 ||  -46.07  -46.23  -46.15  -25.30  -43.29  -24.88  -25.36  -25.37   +0.07   +0.25   -0.13
E    |   25.800 |   15.461 |   14.828 |   14.743 |   17.900 |   15.566 |   17.987 |   17.875 |   17.874 |   25.813 |   25.772 |   25.780 ||  -40.07  -42.53  -42.85  -30.62  -39.66  -30.28  -30.72  -30.72   +0.05   -0.11   -0.08
