### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R1   |   27.205 |   27.200 |   27.181 |   27.198 ||   -0.02   -0.09   -0.02
R2   |   26.751 |   26.761 |   26.734 |   26.740 ||   +0.04   -0.07   -0.04
R3   |   26.461 |   26.521 |   26.449 |   26.459 ||   +0.22   -0.05   -0.01
R4   |   26.307 |   26.354 |   26.296 |   26.303 ||   +0.18   -0.04   -0.02
R6   |   26.085 |   26.118 |   26.086 |   26.087 ||   +0.13   +0.00   +0.01
mix  |     g4_0 |     a4_1 |     g4_2 |     a4_3 ||    a4_1%    g4_2%    a4_3%
A    |   24.657 |   23.558 |   24.578 |   23.528 ||   -4.46   -0.32   -4.58
B    |   59.408 |   59.744 |   59.384 |   59.789 ||   +0.57   -0.04   +0.64
C    |   36.205 |   36.144 |   36.065 |   36.281 ||   -0.17   -0.39   +0.21
D    |   17.875 |   13.562 |   17.859 |   13.557 ||  -24.13   -0.09  -24.16
E    |   17.870 |   15.542 |   17.872 |   15.507 ||  -13.03   +0.01  -13.22
F    |   23.882 |   22.947 |   23.876 |   23.067 ||   -3.92   -0.03   -3.41
R1   |   27.213 |   27.213 |   27.187 |   27.176 ||   -0.00   -0.10   -0.14
R2   |   26.767 |   26.750 |   26.725 |   26.743 ||   -0.06   -0.16   -0.09
R3   |   26.477 |   26.522 |   26.458 |   26.490 ||   +0.17   -0.07   +0.05
R4   |   26.310 |   26.362 |   26.313 |   26.322 ||   +0.20   +0.01   +0.05
R6   |   26.086 |   26.112 |   26.074 |   26.081 ||   +0.10   -0.04   -0.02
### p-a4-g4 : a4 g4 a4 g4
mix  |     a4_0 |     g4_1 |     a4_2 |     g4_3 ||    g4_1%    a4_2%    g4_3%
A    |   23.513 |   24.586 |   23.393 |   24.711 ||   +4.56   -0.51   +5.10
B    |   59.830 |   59.366 |   59.839 |   59.534 ||   -0.78   +0.01   -0.50
C    |   36.417 |   36.097 |   36.208 |   36.275 ||   -0.88   -0.57   -0.39
D    |   13.641 |   17.871 |   13.598 |   17.870 ||  +31.01   -0.31  +31.00
E    |   15.524 |   17.872 |   15.531 |   17.868 ||  +15.12   +0.04  +15.10
F    |   23.047 |   23.878 |   22.958 |   23.886 ||   +3.60   -0.39   +3.64
R1   |   27.207 |   27.171 |   27.177 |   27.179 ||   -0.13   -0.11   -0.10
