=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
R3   |   26.601 |   24.970 |   24.790 |   24.806 |   22.270 |   24.215 |   24.205 |   26.511 |   26.559 |   26.493 |   26.524 |   26.567 ||   -6.13   -6.81   -6.75  -16.28   -8.97   -9.01   -0.34   -0.16   -0.41   -0.29   -0.13
R4   |   26.441 |   24.638 |   24.511 |   24.516 |   22.421 |   24.476 |   24.471 |   26.359 |   26.390 |   26.329 |   26.362 |   26.243 ||   -6.82   -7.30   -7.28  -15.20   -7.43   -7.45   -0.31   -0.19   -0.42   -0.30   -0.75
R6   |   26.088 |   24.027 |   23.960 |   23.953 |   22.658 |   24.896 |   24.901 |   26.120 |   26.121 |   26.105 |   26.104 |   26.118 ||   -7.90   -8.16   -8.19  -13.15   -4.57   -4.55   +0.12   +0.13   +0.07   +0.06   +0.12
=== process order2.2
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   28.449 |   22.596 |   24.011 |   24.226 |   22.597 |   22.003 |   22.886 |   23.905 |   28.832 |   28.928 |   28.378 |   28.511 ||  -20.57  -15.60  -14.85  -20.57  -22.66  -19.55  -15.97   +1.35   +1.68   -0.25   +0.22
B    |   61.928 |   59.157 |   59.018 |   59.242 |   59.597 |   58.750 |   58.652 |   58.747 |   62.002 |   61.998 |   61.831 |   61.978 ||   -4.47   -4.70   -4.34   -3.76   -5.13   -5.29   -5.14   +0.12   +0.11   -0.16   +0.08
C    |   37.954 |   36.442 |   35.774 |   35.773 |   37.528 |   36.391 |   35.563 |   35.686 |   38.193 |   38.033 |   38.045 |   38.380 ||   -3.98   -5.74   -5.75   -1.12   -4.12   -6.30   -5.97   +0.63   +0.21   +0.24   +1.12
D    |   23.930 |   12.878 |   12.900 |   12.897 |   12.889 |   12.894 |   12.891 |   12.896 |   24.068 |   23.977 |   23.925 |   23.929 ||  -46.18  -46.10  -46.10  -46.14  -46.12  -46.13  -46.11   +0.58   +0.19   -0.02   -0.01
E    |   25.760 |   14.481 |   14.752 |   14.731 |   14.853 |   14.869 |   14.868 |   14.803 |   25.788 |   25.849 |   25.737 |   25.812 ||  -43.78  -42.73  -42.81  -42.34  -42.28  -42.28  -42.53   +0.11   +0.34   -0.09   +0.20
F    |   27.103 |   21.096 |   20.876 |   20.878 |   21.019 |   22.450 |   22.095 |   22.260 |   27.114 |   27.124 |   27.122 |   27.132 ||  -22.16  -22.98  -22.97  -22.45  -17.17  -18.48  -17.87   +0.04   +0.08   +0.07   +0.11
R1   |   27.422 |   26.424 |   26.109 |   26.123 |   21.560 |   23.023 |   22.982 |   27.156 |   27.457 |   27.314 |   27.271 |   27.280 ||   -3.64   -4.79   -4.74  -21.38  -16.04  -16.19   -0.97   +0.13   -0.39   -0.55   -0.52
R2   |   26.879 |   25.505 |   25.280 |   25.290 |   22.050 |   23.775 |   23.768 |   26.744 |   26.839 |   26.842 |   26.828 |   26.906 ||   -5.11   -5.95   -5.91  -17.96  -11.55  -11.57   -0.50   -0.15   -0.14   -0.19   +0.10
R3   |   26.614 |   25.032 |   24.788 |   24.804 |   22.275 |   24.216 |   24.208 |   26.482 |   26.592 |   26.550 |   26.542 |   26.575 ||   -5.94   -6.86   -6.80  -16.30   -9.01   -9.04   -0.49   -0.08   -0.24   -0.27   -0.14
R4   |   26.439 |   24.646 |   24.512 |   24.516 |   22.425 |   24.481 |   24.477 |   26.327 |   26.414 |   26.382 |   26.374 |   26.442 ||   -6.78   -7.29   -7.28  -15.18   -7.41   -7.42   -0.43   -0.10   -0.22   -0.25   +0.01
R6   |   26.000 |   24.043 |   23.964 |   23.950 |   22.658 |   24.902 |   24.896 |   26.089 |   26.135 |   26.123 |   26.131 |   26.102 ||   -7.52   -7.83   -7.88  -12.85   -4.22   -4.25   +0.34   +0.52   +0.47   +0.50   +0.39
=== process order2.3
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   29.534 |   22.570 |   24.076 |   24.230 |   22.607 |   21.962 |   22.607 |   23.858 |   28.831 |   29.659 |   29.654 |   28.471 ||  -23.58  -18.48  -17.96  -23.46  -25.64  -23.45  -19.22   -2.38   +0.42   +0.41   -3.60
B    |   61.924 |   59.172 |   59.031 |   59.190 |   59.669 |   58.698 |   58.507 |   58.769 |   61.923 |   61.995 |   61.794 |   61.979 ||   -4.44   -4.67   -4.42   -3.64   -5.21   -5.52   -5.10   -0.00   +0.11   -0.21   +0.09
C    |   38.004 |   36.407 |   35.720 |   35.818 |   37.594 |   36.418 |   35.468 |   35.589 |   38.151 |   38.015 |   38.015 |   38.353 ||   -4.20   -6.01   -5.75   -1.08   -4.17   -6.67   -6.35   +0.39   +0.03   +0.03   +0.92
D    |   23.940 |   12.875 |   12.903 |   12.903 |   12.883 |   12.902 |   12.888 |   12.898 |   24.067 |   23.974 |   23.996 |   23.915 ||  -46.22  -46.10  -46.10  -46.18  -46.10  -46.16  -46.12   +0.53   +0.14   +0.24   -0.10
E    |   25.757 |   14.417 |   14.707 |   14.750 |   14.842 |   14.898 |   13.957 |   14.822 |   25.937 |   25.850 |   25.747 |   25.786 ||  -44.03  -42.90  -42.73  -42.38  -42.16  -45.81  -42.46   +0.70   +0.36   -0.04   +0.11
F    |   27.091 |   21.029 |   20.910 |   20.857 |   21.036 |   22.424 |   22.072 |   22.296 |   27.095 |   27.140 |   27.102 |   27.133 ||  -22.38  -22.82  -23.01  -22.35  -17.23  -18.53  -17.70   +0.01   +0.18   +0.04   +0.15
R1   |   27.421 |   26.428 |   26.086 |   26.119 |   21.521 |   23.025 |   23.000 |   27.157 |   27.464 |   27.325 |   27.284 |   27.283 ||   -3.62   -4.87   -4.75  -21.52  -16.03  -16.12   -0.96   +0.16   -0.35   -0.50   -0.50
R2   |   26.911 |   25.486 |   25.268 |   25.309 |   22.061 |   23.808 |   23.772 |   26.740 |   26.910 |   26.846 |   26.813 |   26.891 ||   -5.30   -6.10   -5.95  -18.02  -11.53  -11.66   -0.63   -0.00   -0.24   -0.36   -0.07
R3   |   26.608 |   24.984 |   24.803 |   24.810 |   22.280 |   24.221 |   24.214 |   26.485 |   26.531 |   26.554 |   26.545 |   26.606 ||   -6.10   -6.78   -6.76  -16.27   -8.97   -9.00   -0.46   -0.29   -0.20   -0.24   -0.01
R4   |   26.436 |   24.686 |   24.510 |   24.517 |   22.423 |   24.475 |   24.474 |   26.339 |   26.430 |   26.387 |   26.383 |   26.435 ||   -6.62   -7.29   -7.26  -15.18   -7.42   -7.42   -0.37   -0.02   -0.19   -0.20   -0.00
R6   |   26.085 |   24.041 |   23.960 |   23.960 |   22.651 |   24.898 |   24.897 |   26.092 |   26.145 |   26.123 |   26.132 |   26.151 ||   -7.84   -8.14   -8.14  -13.16   -4.55   -4.55   +0.03   +0.23   +0.15   +0.18   +0.26
=== process order3.1
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   28.593 |   22.952 |   23.041 |   29.192 |   22.475 |   29.740 |   22.786 |   24.018 |   29.276 |   28.479 |   21.953 |   24.116 ||  -19.73  -19.42   +2.10  -21.39   +4.01  -20.31  -16.00   +2.39   -0.40  -23.22  -15.66
B    |   61.963 |   58.515 |   59.184 |   61.820 |   59.557 |   61.994 |   59.200 |   58.689 |   62.031 |   61.828 |   58.836 |   59.017 ||   -5.56   -4.49   -0.23   -3.88   +0.05   -4.46   -5.28   +0.11   -0.22   -5.05   -4.75
C    |   38.098 |   35.579 |   35.679 |   37.961 |   37.457 |   38.186 |   36.564 |   35.840 |   38.258 |   38.196 |   36.444 |   35.707 ||   -6.61   -6.35   -0.36   -1.68   +0.23   -4.02   -5.93   +0.42   +0.26   -4.34   -6.27
D    |   23.963 |   12.892 |   12.902 |   23.930 |   12.869 |   24.004 |   12.876 |   12.903 |   23.914 |   23.943 |   12.899 |   12.886 ||  -46.20  -46.16   -0.14  -46.30   +0.17  -46.27  -46.16   -0.21   -0.08  -46.17  -46.23
E    |   25.851 |   14.023 |   14.716 |   25.774 |   14.347 |   25.815 |   14.853 |   14.810 |   26.168 |   25.762 |   14.817 |   14.776 ||  -45.75  -43.07   -0.30  -44.50   -0.14  -42.54  -42.71   +1.23   -0.34  -42.68  -42.84
F    |   27.117 |   22.262 |   21.080 |   27.135 |   20.960 |   27.102 |   21.311 |   22.413 |   27.119 |   27.096 |   22.550 |   20.824 ||  -17.91  -22.26   +0.06  -22.70   -0.06  -21.41  -17.35   +0.01   -0.08  -16.84  -23.21
R1   |   27.434 |   22.986 |   26.090 |   27.237 |   21.535 |   27.339 |   26.392 |   27.251 |   27.138 |   27.228 |   23.022 |   26.212 ||  -16.21   -4.90   -0.72  -21.50   -0.35   -3.80   -0.66   -1.08   -0.75  -16.08   -4.45
R2   |   26.882 |   23.724 |   25.289 |   26.741 |   22.049 |   26.914 |   25.468 |   26.772 |   26.715 |   26.767 |   23.784 |   25.358 ||  -11.75   -5.93   -0.53  -17.98   +0.12   -5.26   -0.41   -0.62   -0.43  -11.52   -5.67
R3   |   26.606 |   24.154 |   24.813 |   26.561 |   22.308 |   26.575 |   24.944 |   26.533 |   26.448 |   26.472 |   24.212 |   24.853 ||   -9.22   -6.74   -0.17  -16.15   -0.12   -6.25   -0.28   -0.60   -0.51   -9.00   -6.59
R4   |   26.413 |   24.417 |   24.517 |   26.405 |   22.451 |   26.421 |   24.639 |   26.318 |   26.300 |   26.341 |   24.469 |   24.588 ||   -7.56   -7.18   -0.03  -15.00   +0.03   -6.72   -0.36   -0.43   -0.27   -7.36   -6.91
R6   |   26.163 |   24.782 |   23.963 |   26.107 |   22.697 |   26.114 |   24.041 |   26.094 |   26.087 |   26.108 |   24.893 |   24.055 ||   -5.28   -8.41   -0.22  -13.25   -0.19   -8.11   -0.27   -0.29   -0.21   -4.86   -8.06
=== process order3.2
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   28.521 |   22.907 |   23.167 |   28.600 |   22.458 |   29.806 |   22.837 |   24.035 |   29.721 |   28.378 |   21.961 |   24.129 ||  -19.68  -18.77   +0.28  -21.26   +4.51  -19.93  -15.73   +4.21   -0.50  -23.00  -15.40
B    |   61.953 |   58.580 |   59.170 |   61.884 |   59.503 |   62.004 |   59.203 |   58.745 |   62.033 |   61.816 |   58.736 |   59.045 ||   -5.45   -4.49   -0.11   -3.96   +0.08   -4.44   -5.18   +0.13   -0.22   -5.19   -4.69
C    |   38.084 |   35.617 |   35.702 |   37.985 |   37.498 |   38.125 |   36.629 |   35.803 |   38.318 |   38.101 |   36.474 |   35.739 ||   -6.48   -6.25   -0.26   -1.54   +0.11   -3.82   -5.99   +0.62   +0.04   -4.23   -6.16
D    |   23.944 |   12.889 |   12.902 |   23.954 |   12.874 |   24.002 |   12.874 |   12.903 |   23.939 |   23.944 |   12.899 |   12.883 ||  -46.17  -46.12   +0.04  -46.23   +0.24  -46.23  -46.11   -0.02   -0.00  -46.13  -46.19
E    |   25.844 |   14.027 |   14.736 |   25.757 |   14.443 |   25.760 |   14.481 |   14.838 |   25.820 |   25.752 |   14.910 |   14.786 ||  -45.72  -42.98   -0.34  -44.11   -0.32  -43.97  -42.59   -0.09   -0.35  -42.31  -42.79
F    |   27.109 |   22.274 |   21.052 |   27.140 |   20.960 |   27.115 |   21.276 |   22.461 |   27.097 |   27.088 |   22.531 |   20.807 ||  -17.83  -22.34   +0.11  -22.68   +0.02  -21.52  -17.15   -0.04   -0.08  -16.89  -23.24
R1   |   27.433 |   23.003 |   26.108 |   27.206 |   21.579 |   27.317 |   26.406 |   27.284 |   27.251 |   27.208 |   23.038 |   26.180 ||  -16.15   -4.83   -0.83  -21.34   -0.42   -3.74   -0.54   -0.66   -0.82  -16.02   -4.57
R2   |   26.952 |   23.726 |   25.296 |   26.851 |   22.041 |   26.838 |   25.455 |   26.775 |   26.767 |   26.760 |   23.774 |   25.426 ||  -11.97   -6.14   -0.37  -18.22   -0.42   -5.56   -0.66   -0.69   -0.71  -11.79   -5.66
R3   |   26.640 |   24.152 |   24.790 |   26.565 |   22.303 |   26.550 |   24.952 |   26.433 |   26.518 |   26.500 |   24.209 |   24.871 ||   -9.34   -6.94   -0.28  -16.28   -0.34   -6.34   -0.78   -0.46   -0.53   -9.13   -6.64
R4   |   26.428 |   24.386 |   24.509 |   26.406 |   22.448 |   26.341 |   24.632 |   26.311 |   26.364 |   26.349 |   24.465 |   24.608 ||   -7.72   -7.26   -0.08  -15.06   -0.33   -6.80   -0.44   -0.24   -0.30   -7.43   -6.88
R6   |   26.169 |   24.764 |   23.968 |   26.091 |   22.692 |   26.077 |   24.020 |   26.096 |   26.114 |   26.105 |   24.889 |   24.062 ||   -5.37   -8.41   -0.30  -13.29   -0.35   -8.21   -0.28   -0.21   -0.24   -4.89   -8.05
=== process order3.3
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   28.563 |   22.938 |   24.262 |   28.397 |   22.465 |   29.562 |   22.816 |   24.032 |   29.698 |   28.474 |   21.938 |   23.758 ||  -19.69  -15.06   -0.58  -21.35   +3.50  -20.12  -15.86   +3.97   -0.31  -23.20  -16.82
B    |   61.958 |   58.586 |   59.221 |   61.807 |   59.577 |   62.068 |   59.245 |   58.733 |   62.028 |   61.786 |   58.823 |   59.084 ||   -5.44   -4.42   -0.24   -3.84   +0.18   -4.38   -5.21   +0.11   -0.28   -5.06   -4.64
C    |   38.116 |   35.543 |   35.652 |   37.954 |   37.484 |   38.060 |   36.600 |   35.810 |   38.305 |   38.185 |   36.530 |   35.695 ||   -6.75   -6.46   -0.42   -1.66   -0.15   -3.98   -6.05   +0.50   +0.18   -4.16   -6.35
D    |   23.969 |   12.892 |   12.902 |   23.943 |   12.878 |   24.019 |   12.867 |   12.901 |   23.921 |   23.946 |   12.900 |   12.885 ||  -46.21  -46.17   -0.11  -46.27   +0.21  -46.32  -46.18   -0.20   -0.10  -46.18  -46.24
