### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R3   |   21.203 |   21.777 |   21.202 |   21.756 ||   +2.71   -0.01   +2.61
R4   |   20.958 |   21.721 |   20.960 |   21.697 ||   +3.64   +0.01   +3.53
R6   |   20.511 |   21.630 |   20.507 |   21.622 ||   +5.46   -0.02   +5.42
### p-t5-t4p8 : t5 t4p8 t5 t4p8
mix  |     t5_0 |   t4p8_1 |     t5_2 |   t4p8_3 ||  t4p8_1%    t5_2%  t4p8_3%
A    |   18.374 |   18.989 |   18.466 |   19.257 ||   +3.35   +0.50   +4.80
B    |   48.832 |   49.100 |   48.809 |   49.203 ||   +0.55   -0.05   +0.76
C    |   29.227 |   29.302 |   29.377 |   29.177 ||   +0.26   +0.52   -0.17
D    |   10.925 |   10.916 |   10.925 |   10.918 ||   -0.08   -0.01   -0.06
E    |   11.845 |   11.974 |   11.847 |   12.089 ||   +1.09   +0.01   +2.06
F    |   18.699 |   17.804 |   18.706 |   17.998 ||   -4.79   +0.03   -3.75
R1   |   19.121 |   22.241 |   19.207 |   22.255 ||  +16.32   +0.45  +16.39
R2   |   19.945 |   21.643 |   19.985 |   21.647 ||   +8.51   +0.20   +8.53
R3   |   20.297 |   21.233 |   20.332 |   21.207 ||   +4.61   +0.18   +4.49
R4   |   20.503 |   20.979 |   20.534 |   20.967 ||   +2.32   +0.15   +2.26
R6   |   20.867 |   20.520 |   20.870 |   20.514 ||   -1.66   +0.02   -1.69
mix  |     t5_0 |   t4p8_1 |     t5_2 |   t4p8_3 ||  t4p8_1%    t5_2%  t4p8_3%
A    |   18.387 |   18.961 |   18.450 |   19.198 ||   +3.13   +0.34   +4.41
B    |   48.803 |   49.113 |   48.830 |   49.183 ||   +0.63   +0.05   +0.78
C    |   29.237 |   29.300 |   29.325 |   29.175 ||   +0.22   +0.30   -0.21
D    |   10.927 |   10.916 |   10.924 |   10.921 ||   -0.11   -0.03   -0.06
E    |   11.839 |   11.974 |   11.851 |   12.074 ||   +1.14   +0.10   +1.99
F    |   18.713 |   17.811 |   18.706 |   17.987 ||   -4.82   -0.04   -3.88
R1   |   19.104 |   22.264 |   19.207 |   22.260 ||  +16.54   +0.54  +16.52
R2   |   19.938 |   21.671 |   19.990 |   21.655 ||   +8.69   +0.26   +8.61
R3   |   20.285 |   21.226 |   20.325 |   21.202 ||   +4.64   +0.20   +4.52
R4   |   20.508 |   20.976 |   20.526 |   20.970 ||   +2.28   +0.09   +2.25
R6   |   20.858 |   20.522 |   20.869 |   20.510 ||   -1.61   +0.05   -1.67
### p-t4p8-t5 : t4p8 t5 t4p8 t5
mix  |   t4p8_0 |     t5_1 |   t4p8_2 |     t5_3 ||    t5_1%  t4p8_2%    t5_3%
A    |   19.056 |   18.558 |   19.220 |   18.353 ||   -2.61   +0.86   -3.69
B    |   49.109 |   48.869 |   49.142 |   48.687 ||   -0.49   +0.07   -0.86
C    |   29.205 |   29.431 |   29.472 |   29.168 ||   +0.77   +0.91   -0.13
D    |   10.924 |   10.928 |   10.921 |   10.924 ||   +0.04   -0.03   +0.00
E    |   11.955 |   11.901 |   12.008 |   11.853 ||   -0.46   +0.44   -0.86
F    |   17.861 |   18.724 |   17.951 |   18.683 ||   +4.84   +0.51   +4.61
R1   |   22.235 |   19.191 |   22.252 |   19.124 ||  -13.69   +0.08  -13.99
R2   |   21.668 |   20.012 |   21.676 |   19.959 ||   -7.64   +0.04   -7.89
R3   |   21.204 |   20.339 |   21.228 |   20.271 ||   -4.08   +0.11   -4.40
R4   |   20.963 |   20.549 |   20.982 |   20.485 ||   -1.97   +0.09   -2.28
R6   |   20.507 |   20.881 |   20.514 |   20.860 ||   +1.82   +0.04   +1.72
mix  |   t4p8_0 |     t5_1 |   t4p8_2 |     t5_3 ||    t5_1%  t4p8_2%    t5_3%
A    |   19.047 |   18.485 |   19.161 |   18.401 ||   -2.95   +0.60   -3.40
B    |   49.073 |   48.864 |   49.140 |   48.696 ||   -0.43   +0.14   -0.77
C    |   29.219 |   29.421 |   29.477 |   29.181 ||   +0.69   +0.88   -0.13
D    |   10.923 |   10.929 |   10.921 |   10.926 ||   +0.05   -0.02   +0.03
E    |   11.928 |   11.902 |   12.009 |   11.855 ||   -0.22   +0.68   -0.61
F    |   17.819 |   18.712 |   17.975 |   18.638 ||   +5.01   +0.87   +4.59
R1   |   22.203 |   19.192 |   22.243 |   19.127 ||  -13.56   +0.18  -13.85
R2   |   21.654 |   20.027 |   21.674 |   19.949 ||   -7.51   +0.09   -7.87
R3   |   21.204 |   20.341 |   21.203 |   20.277 ||   -4.07   -0.01   -4.38
R4   |   20.969 |   20.553 |   20.990 |   20.498 ||   -1.98   +0.10   -2.25
R6   |   20.509 |   20.882 |   20.527 |   20.866 ||   +1.82   +0.09   +1.74
### p-t8-t4p8 : t8 t4p8 t8 t4p8
mix  |     t8_0 |   t4p8_1 |     t8_2 |   t4p8_3 ||  t4p8_1%    t8_2%  t4p8_3%
A    |   17.883 |   18.993 |   18.081 |   19.258 ||   +6.21   +1.11   +7.69
B    |   48.331 |   49.112 |   48.347 |   49.203 ||   +1.62   +0.03   +1.80
C    |   29.601 |   29.291 |   30.119 |   29.489 ||   -1.05   +1.75   -0.38
D    |   10.923 |   10.921 |   10.922 |   10.919 ||   -0.01   -0.01   -0.04
E    |   11.979 |   12.008 |   12.077 |   12.043 ||   +0.24   +0.81   +0.53
F    |   18.182 |   17.828 |   18.202 |   18.024 ||   -1.95   +0.11   -0.87
R1   |   18.428 |   22.263 |   18.440 |   22.228 ||  +20.81   +0.06  +20.62
R2   |   18.883 |   21.667 |   18.924 |   21.662 ||  +14.74   +0.22  +14.71
R3   |   19.096 |   21.236 |   19.115 |   21.206 ||  +11.21   +0.10  +11.05
R4   |   19.191 |   20.992 |   19.211 |   20.976 ||   +9.38   +0.10   +9.30
R6   |   19.381 |   20.529 |   19.400 |   20.517 ||   +5.92   +0.10   +5.86
mix  |     t8_0 |   t4p8_1 |     t8_2 |   t4p8_3 ||  t4p8_1%    t8_2%  t4p8_3%
A    |   17.913 |   19.036 |   18.091 |   19.247 ||   +6.27   +0.99   +7.45
B    |   48.264 |   49.105 |   48.412 |   49.155 ||   +1.74   +0.31   +1.85
C    |   29.662 |   29.278 |   30.168 |   29.548 ||   -1.30   +1.71   -0.38
D    |   10.922 |   10.922 |   10.919 |   10.920 ||   -0.01   -0.03   -0.02
E    |   11.972 |   12.024 |   12.093 |   12.022 ||   +0.43   +1.01   +0.42
F    |   18.196 |   17.809 |   18.208 |   18.010 ||   -2.13   +0.07   -1.02
R1   |   18.458 |   22.259 |   18.442 |   22.242 ||  +20.59   -0.08  +20.50
R2   |   18.919 |   21.663 |   18.922 |   21.659 ||  +14.51   +0.02  +14.49
R3   |   19.086 |   21.236 |   19.119 |   21.202 ||  +11.27   +0.17  +11.09
