### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R4   |   24.558 |   22.434 |   24.519 |   22.443 ||   -8.65   -0.16   -8.61
R6   |   23.967 |   22.654 |   23.966 |   22.680 ||   -5.48   -0.01   -5.37
mix  |   t4p8_0 |     t8_1 |   t4p8_2 |     t8_3 ||    t8_1%  t4p8_2%    t8_3%
A    |   23.917 |   22.701 |   24.108 |   22.608 ||   -5.08   +0.80   -5.47
B    |   59.226 |   59.666 |   59.075 |   59.539 ||   +0.74   -0.26   +0.53
C    |   35.732 |   37.758 |   35.872 |   37.370 ||   +5.67   +0.39   +4.59
D    |   12.896 |   12.887 |   12.899 |   12.891 ||   -0.07   +0.02   -0.04
E    |   14.718 |   14.810 |   14.733 |   14.849 ||   +0.63   +0.11   +0.90
F    |   20.795 |   21.102 |   20.999 |   21.126 ||   +1.48   +0.98   +1.60
R1   |   26.138 |   21.583 |   26.103 |   21.553 ||  -17.43   -0.13  -17.54
R2   |   25.327 |   22.094 |   25.343 |   22.069 ||  -12.77   +0.06  -12.86
R3   |   24.853 |   22.278 |   24.837 |   22.296 ||  -10.36   -0.06  -10.29
R4   |   24.572 |   22.435 |   24.528 |   22.460 ||   -8.70   -0.18   -8.60
R6   |   23.974 |   22.657 |   23.981 |   22.673 ||   -5.49   +0.03   -5.43
### p-t7-t8 : t7 t8 t7 t8
mix  |     t7_0 |     t8_1 |     t7_2 |     t8_3 ||    t8_1%    t7_2%    t8_3%
A    |   22.043 |   22.486 |   22.160 |   22.535 ||   +2.01   +0.53   +2.23
B    |   58.635 |   59.604 |   59.043 |   59.587 ||   +1.65   +0.70   +1.62
C    |   36.414 |   37.417 |   36.531 |   37.458 ||   +2.75   +0.32   +2.87
D    |   12.904 |   12.866 |   12.871 |   12.887 ||   -0.29   -0.25   -0.13
E    |   14.925 |   14.854 |   14.896 |   14.839 ||   -0.47   -0.19   -0.57
F    |   22.391 |   20.968 |   22.439 |   21.029 ||   -6.36   +0.21   -6.09
R1   |   23.006 |   21.565 |   22.947 |   21.542 ||   -6.26   -0.26   -6.36
R2   |   23.770 |   22.070 |   23.750 |   22.072 ||   -7.15   -0.08   -7.14
R3   |   24.207 |   22.294 |   24.205 |   22.298 ||   -7.90   -0.01   -7.88
R4   |   24.476 |   22.445 |   24.477 |   22.416 ||   -8.30   +0.00   -8.42
R6   |   24.888 |   22.679 |   24.897 |   22.648 ||   -8.88   +0.04   -9.00
mix  |     t7_0 |     t8_1 |     t7_2 |     t8_3 ||    t8_1%    t7_2%    t8_3%
A    |   22.034 |   22.563 |   22.162 |   22.541 ||   +2.40   +0.58   +2.30
B    |   58.568 |   59.710 |   58.998 |   59.637 ||   +1.95   +0.73   +1.82
C    |   36.450 |   37.398 |   36.550 |   37.387 ||   +2.60   +0.28   +2.57
D    |   12.903 |   12.879 |   12.873 |   12.883 ||   -0.19   -0.23   -0.16
E    |   14.899 |   14.845 |   14.919 |   14.870 ||   -0.36   +0.14   -0.19
F    |   22.393 |   20.959 |   22.367 |   21.034 ||   -6.41   -0.12   -6.07
R1   |   23.002 |   21.533 |   22.953 |   21.547 ||   -6.39   -0.22   -6.33
R2   |   23.771 |   22.057 |   23.738 |   22.072 ||   -7.21   -0.14   -7.15
R3   |   24.209 |   22.291 |   24.188 |   22.282 ||   -7.92   -0.08   -7.96
R4   |   24.475 |   22.449 |   24.468 |   22.411 ||   -8.28   -0.03   -8.43
R6   |   24.886 |   22.672 |   24.894 |   22.642 ||   -8.89   +0.03   -9.02
### p-t8-t7 : t8 t7 t8 t7
mix  |     t8_0 |     t7_1 |     t8_2 |     t7_3 ||    t7_1%    t8_2%    t7_3%
A    |   22.608 |   21.990 |   22.475 |   22.163 ||   -2.73   -0.59   -1.97
B    |   59.453 |   58.548 |   59.805 |   58.961 ||   -1.52   +0.59   -0.83
C    |   37.082 |   36.324 |   37.385 |   36.483 ||   -2.04   +0.82   -1.61
D    |   12.886 |   12.904 |   12.875 |   12.899 ||   +0.14   -0.08   +0.10
