=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
R1   |   32.691 |   32.902 |   32.971 |   33.063 |   28.003 |   28.168 |   28.153 |   32.722 |   33.103 |   32.763 |   32.709 |   32.663 ||   +0.65   +0.86   +1.14  -14.34  -13.84  -13.88   +0.10   +1.26   +0.22   +0.06   -0.09
R2   |   32.794 |   30.738 |   30.557 |   31.013 |   26.914 |   28.755 |   28.609 |   32.756 |   33.248 |   32.798 |   32.313 |   32.775 ||   -6.27   -6.82   -5.43  -17.93  -12.32  -12.76   -0.12   +1.38   +0.01   -1.47   -0.06
R3   |   32.839 |   29.947 |   29.809 |   30.218 |   27.046 |   29.084 |   28.882 |   31.512 |   31.296 |   31.596 |   31.595 |   32.456 ||   -8.81   -9.22   -7.98  -17.64  -11.43  -12.05   -4.04   -4.70   -3.78   -3.79   -1.17
R4   |   31.531 |   29.511 |   29.380 |   29.756 |   27.099 |   29.270 |   29.079 |   31.286 |   31.068 |   31.254 |   31.302 |   31.135 ||   -6.41   -6.82   -5.63  -14.06   -7.17   -7.78   -0.78   -1.47   -0.88   -0.73   -1.26
R6   |   30.817 |   28.726 |   28.596 |   28.853 |   27.230 |   29.657 |   29.450 |   30.945 |   30.701 |   30.865 |   30.815 |   30.833 ||   -6.79   -7.21   -6.37  -11.64   -3.76   -4.44   +0.41   -0.38   +0.16   -0.01   +0.05
=== process order2.3
mix  |     base |    t4p8b |   t4p8AA |     t4p8 |       t8 |       t7 |       t5 |       t4 |   dsp0AA |     dsp0 |   baseAB |   baseAA ||   t4p8b%  t4p8AA%    t4p8%      t8%      t7%      t5%      t4%  dsp0AA%    dsp0%  baseAB%  baseAA%
A    |   33.144 |   28.720 |   28.741 |   29.354 |   27.057 |   26.745 |   27.740 |   28.779 |   32.982 |   33.080 |   33.256 |   33.051 ||  -13.35  -13.28  -11.43  -18.36  -19.31  -16.30  -13.17   -0.49   -0.19   +0.34   -0.28
B    |   70.695 |   67.525 |   67.690 |   67.823 |   67.353 |   66.871 |   66.516 |   67.196 |   70.189 |   70.385 |   70.675 |   70.384 ||   -4.48   -4.25   -4.06   -4.73   -5.41   -5.91   -4.95   -0.72   -0.44   -0.03   -0.44
C    |   46.923 |   44.750 |   44.259 |   44.515 |   44.920 |   44.334 |   43.923 |   44.424 |   46.964 |   46.817 |   46.883 |   46.840 ||   -4.63   -5.68   -5.13   -4.27   -5.52   -6.39   -5.32   +0.09   -0.22   -0.09   -0.18
D    |   28.223 |   14.518 |   14.556 |   14.547 |   14.513 |   14.516 |   14.617 |   14.494 |   28.319 |   28.446 |   28.195 |   28.168 ||  -48.56  -48.43  -48.46  -48.58  -48.57  -48.21  -48.65   +0.34   +0.79   -0.10   -0.20
E    |   30.398 |   18.453 |   18.527 |   18.484 |   18.655 |   18.783 |   17.770 |   18.388 |   30.242 |   30.361 |   30.415 |   30.380 ||  -39.30  -39.05  -39.19  -38.63  -38.21  -41.54  -39.51   -0.51   -0.12   +0.06   -0.06
F    |   32.544 |   28.008 |   27.548 |   27.590 |   27.829 |   27.904 |   27.637 |   27.786 |   32.844 |   32.574 |   32.661 |   32.525 ||  -13.94  -15.35  -15.22  -14.49  -14.26  -15.08  -14.62   +0.92   +0.09   +0.36   -0.06
R1   |   32.698 |   33.104 |   33.089 |   33.180 |   28.115 |   28.237 |   28.102 |   32.784 |   33.102 |   32.743 |   32.840 |   32.687 ||   +1.24   +1.20   +1.47  -14.01  -13.64  -14.06   +0.26   +1.23   +0.14   +0.44   -0.03
R2   |   32.852 |   30.679 |   30.592 |   31.015 |   26.950 |   28.799 |   28.756 |   32.759 |   33.382 |   32.704 |   32.305 |   32.822 ||   -6.61   -6.88   -5.59  -17.97  -12.34  -12.47   -0.28   +1.61   -0.45   -1.66   -0.09
R3   |   32.774 |   29.942 |   29.868 |   30.191 |   27.073 |   29.072 |   28.882 |   31.524 |   31.307 |   31.517 |   32.131 |   32.909 ||   -8.64   -8.87   -7.88  -17.40  -11.30  -11.88   -3.82   -4.48   -3.84   -1.96   +0.41
R4   |   31.615 |   29.529 |   29.396 |   29.818 |   27.121 |   29.276 |   29.083 |   31.264 |   31.055 |   31.268 |   31.356 |   31.162 ||   -6.60   -7.02   -5.68  -14.22   -7.40   -8.01   -1.11   -1.77   -1.10   -0.82   -1.43
R6   |   30.810 |   28.749 |   28.630 |   28.921 |   27.239 |   29.641 |   29.428 |   30.923 |   30.705 |   30.926 |   30.812 |   30.839 ||   -6.69   -7.07   -6.13  -11.59   -3.79   -4.49   +0.37   -0.34   +0.38   +0.01   +0.10
=== process order3.1
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   33.178 |   27.772 |   28.795 |   33.302 |   26.979 |   33.150 |   29.046 |   28.940 |   33.151 |   33.146 |   26.541 |   28.846 ||  -16.30  -13.21   +0.37  -18.68   -0.08  -12.45  -12.77   -0.08   -0.10  -20.00  -13.06
B    |   70.819 |   66.555 |   67.895 |   70.847 |   67.431 |   70.237 |   68.121 |   67.163 |   70.443 |   70.791 |   67.070 |   67.694 ||   -6.02   -4.13   +0.04   -4.78   -0.82   -3.81   -5.16   -0.53   -0.04   -5.29   -4.41
C    |   47.473 |   44.516 |   44.935 |   47.490 |   45.170 |   47.718 |   45.703 |   44.480 |   47.691 |   47.704 |   44.705 |   44.651 ||   -6.23   -5.34   +0.04   -4.85   +0.52   -3.73   -6.30   +0.46   +0.49   -5.83   -5.94
D    |   28.611 |   14.586 |   14.591 |   28.636 |   14.585 |   28.563 |   14.551 |   14.553 |   28.602 |   28.649 |   14.518 |   14.526 ||  -49.02  -49.00   +0.09  -49.02   -0.17  -49.14  -49.14   -0.03   +0.13  -49.26  -49.23
E    |   30.593 |   17.806 |   18.488 |   30.569 |   18.433 |   30.556 |   18.210 |   18.369 |   30.690 |   30.683 |   18.581 |   18.139 ||  -41.80  -39.57   -0.08  -39.75   -0.12  -40.48  -39.96   +0.32   +0.30  -39.26  -40.71
F    |   32.976 |   27.977 |   26.558 |   32.938 |   26.489 |   32.903 |   26.879 |   28.105 |   32.989 |   32.974 |   28.274 |   26.629 ||  -15.16  -19.46   -0.12  -19.67   -0.22  -18.49  -14.77   +0.04   -0.01  -14.26  -19.25
R1   |   33.262 |   28.486 |   31.761 |   32.394 |   26.676 |   32.326 |   32.061 |   32.322 |   33.300 |   33.028 |   28.493 |   31.770 ||  -14.36   -4.51   -2.61  -19.80   -2.81   -3.61   -2.83   +0.11   -0.70  -14.34   -4.49
R2   |   31.711 |   28.770 |   30.814 |   31.674 |   27.011 |   31.665 |   30.981 |   31.586 |   31.849 |   31.704 |   29.035 |   30.812 ||   -9.27   -2.83   -0.12  -14.82   -0.14   -2.30   -0.39   +0.44   -0.02   -8.44   -2.83
R3   |   31.463 |   29.100 |   30.023 |   31.414 |   27.150 |   31.355 |   30.231 |   31.339 |   31.580 |   31.383 |   29.320 |   30.129 ||   -7.51   -4.58   -0.16  -13.71   -0.35   -3.92   -0.39   +0.37   -0.26   -6.81   -4.24
R4   |   31.290 |   29.313 |   29.624 |   31.246 |   27.275 |   31.177 |   29.803 |   31.162 |   31.400 |   31.266 |   29.558 |   29.735 ||   -6.32   -5.33   -0.14  -12.83   -0.36   -4.75   -0.41   +0.35   -0.08   -5.54   -4.97
R6   |   31.011 |   29.699 |   28.899 |   31.003 |   27.380 |   30.936 |   29.008 |   30.894 |   31.144 |   31.009 |   29.911 |   28.946 ||   -4.23   -6.81   -0.03  -11.71   -0.24   -6.46   -0.38   +0.43   -0.01   -3.55   -6.66
=== process order3.2
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   33.021 |   27.747 |   28.864 |   33.138 |   26.943 |   33.056 |   28.955 |   28.821 |   33.051 |   33.107 |   26.531 |   28.678 ||  -15.97  -12.59   +0.35  -18.41   +0.10  -12.31  -12.72   +0.09   +0.26  -19.66  -13.15
B    |   70.659 |   66.382 |   67.805 |   70.625 |   67.391 |   70.303 |   68.057 |   67.067 |   70.496 |   70.797 |   66.879 |   67.600 ||   -6.05   -4.04   -0.05   -4.62   -0.50   -3.68   -5.08   -0.23   +0.20   -5.35   -4.33
C    |   46.777 |   43.878 |   44.177 |   46.821 |   44.801 |   46.978 |   45.176 |   44.291 |   46.964 |   46.934 |   44.183 |   44.361 ||   -6.20   -5.56   +0.09   -4.22   +0.43   -3.42   -5.31   +0.40   +0.34   -5.54   -5.16
D    |   28.156 |   14.574 |   14.573 |   28.161 |   14.547 |   28.200 |   14.552 |   14.549 |   28.411 |   28.129 |   14.508 |   14.525 ||  -48.24  -48.24   +0.02  -48.33   +0.16  -48.32  -48.33   +0.91   -0.10  -48.47  -48.41
E    |   30.367 |   17.798 |   18.494 |   30.327 |   18.496 |   30.254 |   18.244 |   18.343 |   30.386 |   30.428 |   18.608 |   18.210 ||  -41.39  -39.10   -0.13  -39.09   -0.37  -39.92  -39.59   +0.06   +0.20  -38.72  -40.03
F    |   32.439 |   27.535 |   27.547 |   32.401 |   27.707 |   32.650 |   28.009 |   27.831 |   32.442 |   32.358 |   27.861 |   27.566 ||  -15.12  -15.08   -0.12  -14.59   +0.65  -13.66  -14.20   +0.01   -0.25  -14.11  -15.02
R1   |   32.603 |   28.037 |   33.039 |   32.561 |   27.671 |   32.894 |   33.043 |   32.884 |   32.667 |   32.649 |   28.240 |   33.090 ||  -14.01   +1.34   -0.13  -15.13   +0.89   +1.35   +0.86   +0.20   +0.14  -13.38   +1.49
R2   |   32.545 |   29.707 |   30.561 |   32.034 |   26.877 |   31.716 |   30.873 |   31.703 |   32.581 |   32.336 |   29.386 |   30.644 ||   -8.72   -6.10   -1.57  -17.42   -2.55   -5.14   -2.59   +0.11   -0.64   -9.71   -5.84
R3   |   31.329 |   28.898 |   29.824 |   31.276 |   27.010 |   31.288 |   30.097 |   31.283 |   31.585 |   32.068 |   30.124 |   30.015 ||   -7.76   -4.80   -0.17  -13.79   -0.13   -3.93   -0.15   +0.82   +2.36   -3.85   -4.20
R4   |   31.123 |   29.114 |   29.393 |   31.052 |   27.102 |   31.050 |   29.719 |   31.025 |   31.253 |   31.118 |   29.439 |   29.610 ||   -6.46   -5.56   -0.23  -12.92   -0.23   -4.51   -0.31   +0.42   -0.02   -5.41   -4.86
R6   |   30.822 |   29.450 |   28.600 |   30.767 |   27.263 |   30.704 |   28.877 |   30.687 |   30.927 |   30.783 |   29.635 |   28.837 ||   -4.45   -7.21   -0.18  -11.54   -0.38   -6.31   -0.44   +0.34   -0.13   -3.85   -6.44
=== process order3.3
mix  |     base |       t5 |     t4p8 |   baseAA |       t8 |     dsp0 |    t4p8b |       t4 |   dsp0AA |   baseAB |       t7 |   t4p8AA ||      t5%    t4p8%  baseAA%      t8%    dsp0%   t4p8b%      t4%  dsp0AA%  baseAB%      t7%  t4p8AA%
A    |   33.000 |   27.762 |   28.864 |   33.195 |   26.937 |   32.942 |   28.909 |   28.851 |   33.058 |   33.169 |   26.559 |   28.738 ||  -15.87  -12.53   +0.59  -18.37   -0.17  -12.40  -12.57   +0.18   +0.51  -19.52  -12.92
B    |   70.677 |   66.416 |   67.778 |   70.186 |   67.301 |   70.214 |   67.879 |   67.167 |   70.468 |   70.704 |   66.928 |   67.516 ||   -6.03   -4.10   -0.70   -4.78   -0.66   -3.96   -4.97   -0.30   +0.04   -5.30   -4.47
C    |   46.963 |   43.867 |   44.302 |   46.856 |   44.807 |   47.009 |   45.229 |   44.419 |   46.986 |   46.920 |   44.238 |   44.422 ||   -6.59   -5.67   -0.23   -4.59   +0.10   -3.69   -5.42   +0.05   -0.09   -5.80   -5.41
D    |   28.151 |   14.584 |   14.561 |   28.161 |   14.562 |   28.413 |   14.537 |   14.550 |   28.493 |   28.249 |   14.525 |   14.526 ||  -48.19  -48.27   +0.04  -48.27   +0.93  -48.36  -48.31   +1.22   +0.35  -48.40  -48.40
