### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
B    |   59.276 |   60.042 |   59.384 |   60.120 ||   +1.29   +0.18   +1.42
C    |   35.970 |   36.433 |   36.161 |   36.525 ||   +1.29   +0.53   +1.54
D    |   12.929 |   12.954 |   12.918 |   12.941 ||   +0.19   -0.08   +0.09
E    |   15.402 |   17.075 |   15.428 |   17.124 ||  +10.86   +0.17  +11.18
F    |   25.266 |   26.654 |   25.425 |   26.604 ||   +5.49   +0.63   +5.30
R1   |   28.830 |   29.844 |   28.852 |   29.841 ||   +3.52   +0.08   +3.51
R2   |   29.299 |   30.507 |   29.325 |   30.456 ||   +4.12   +0.09   +3.95
R3   |   29.467 |   30.694 |   29.481 |   30.669 ||   +4.17   +0.05   +4.08
R4   |   29.563 |   30.828 |   29.582 |   30.771 ||   +4.28   +0.06   +4.09
R6   |   30.407 |   30.894 |   30.451 |   30.842 ||   +1.60   +0.14   +1.43
mix  |  m4s4h_0 |   m4s4_1 |  m4s4h_2 |   m4s4_3 ||  m4s4_1% m4s4h_2%  m4s4_3%
A    |   24.483 |   26.007 |   24.609 |   26.053 ||   +6.23   +0.52   +6.41
B    |   59.260 |   60.045 |   59.433 |   60.120 ||   +1.32   +0.29   +1.45
C    |   36.006 |   36.411 |   36.183 |   36.541 ||   +1.13   +0.49   +1.49
D    |   12.932 |   12.957 |   12.920 |   12.940 ||   +0.20   -0.09   +0.07
E    |   15.398 |   17.093 |   15.390 |   17.156 ||  +11.01   -0.05  +11.42
F    |   25.269 |   26.679 |   25.399 |   26.632 ||   +5.58   +0.52   +5.39
R1   |   28.895 |   29.849 |   28.843 |   29.868 ||   +3.30   -0.18   +3.37
R2   |   29.292 |   30.498 |   29.316 |   30.450 ||   +4.11   +0.08   +3.95
R3   |   29.465 |   30.716 |   29.472 |   30.672 ||   +4.25   +0.02   +4.10
R4   |   29.569 |   30.842 |   29.583 |   30.776 ||   +4.31   +0.05   +4.08
R6   |   30.853 |   30.902 |   30.475 |   30.841 ||   +0.16   -1.23   -0.04
### p-t4-s4h : t4 s4h t4 s4h
mix  |     t4_0 |    s4h_1 |     t4_2 |    s4h_3 ||   s4h_1%    t4_2%   s4h_3%
A    |   23.910 |   24.360 |   23.930 |   24.343 ||   +1.88   +0.08   +1.81
B    |   58.856 |   58.885 |   58.868 |   58.869 ||   +0.05   +0.02   +0.02
C    |   35.617 |   35.739 |   35.681 |   35.957 ||   +0.34   +0.18   +0.96
D    |   12.901 |   12.922 |   12.884 |   12.930 ||   +0.17   -0.13   +0.22
E    |   14.792 |   15.331 |   14.823 |   15.444 ||   +3.64   +0.21   +4.41
F    |   22.281 |   22.890 |   22.362 |   22.900 ||   +2.73   +0.36   +2.78
R1   |   27.180 |   27.229 |   27.219 |   27.190 ||   +0.18   +0.14   +0.04
R2   |   26.749 |   26.854 |   26.772 |   26.739 ||   +0.39   +0.09   -0.04
R3   |   26.467 |   26.552 |   26.509 |   26.460 ||   +0.32   +0.16   -0.03
R4   |   26.298 |   26.323 |   26.342 |   26.313 ||   +0.10   +0.17   +0.06
R6   |   26.103 |   26.070 |   26.096 |   26.076 ||   -0.12   -0.03   -0.10
mix  |     t4_0 |    s4h_1 |     t4_2 |    s4h_3 ||   s4h_1%    t4_2%   s4h_3%
A    |   23.925 |   24.397 |   23.918 |   24.372 ||   +1.97   -0.03   +1.87
B    |   58.887 |   58.735 |   58.888 |   58.874 ||   -0.26   +0.00   -0.02
C    |   35.669 |   35.744 |   35.640 |   36.009 ||   +0.21   -0.08   +0.95
D    |   12.898 |   12.920 |   12.893 |   12.882 ||   +0.17   -0.04   -0.12
E    |   14.809 |   15.325 |   14.809 |   15.443 ||   +3.48   -0.00   +4.28
F    |   22.291 |   22.922 |   22.367 |   22.906 ||   +2.83   +0.34   +2.76
R1   |   27.187 |   27.240 |   27.259 |   27.203 ||   +0.20   +0.27   +0.06
R2   |   26.749 |   26.816 |   26.781 |   26.753 ||   +0.25   +0.12   +0.02
R3   |   26.481 |   26.455 |   26.519 |   26.477 ||   -0.10   +0.14   -0.02
R4   |   26.313 |   26.383 |   26.343 |   26.292 ||   +0.26   +0.11   -0.08
R6   |   26.105 |   26.069 |   26.040 |   26.074 ||   -0.14   -0.25   -0.12
### p-s4h-t4 : s4h t4 s4h t4
mix  |    s4h_0 |     t4_1 |    s4h_2 |     t4_3 ||    t4_1%   s4h_2%    t4_3%
A    |   24.347 |   23.885 |   24.368 |   24.093 ||   -1.90   +0.08   -1.04
B    |   58.979 |   58.769 |   58.857 |   58.853 ||   -0.36   -0.21   -0.21
C    |   35.951 |   35.597 |   35.646 |   35.760 ||   -0.99   -0.85   -0.53
