=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
D    |   23.959 |   12.919 |   12.872 |   12.903 |   12.930 |   12.942 |   12.930 |   12.987 |   12.951 |   23.955 |   23.953 |   23.940 ||  -46.08  -46.27  -46.15  -46.04  -45.98  -46.03  -45.80  -45.94   -0.02   -0.03   -0.08
E    |   25.771 |   14.647 |   14.279 |   14.745 |   15.493 |   17.143 |   15.434 |   17.152 |   17.156 |   25.804 |   25.740 |   25.794 ||  -43.16  -44.59  -42.78  -39.88  -33.48  -40.11  -33.45  -33.43   +0.13   -0.12   +0.09
F    |   27.099 |   23.294 |   22.415 |   21.013 |   22.910 |   23.336 |   25.248 |   26.692 |   26.726 |   27.084 |   27.093 |   27.130 ||  -14.04  -17.29  -22.46  -15.46  -13.89   -6.83   -1.50   -1.38   -0.05   -0.02   +0.11
R1   |   27.414 |   24.229 |   27.276 |   26.116 |   27.194 |   27.219 |   28.848 |   29.831 |   29.739 |   27.218 |   27.468 |   27.192 ||  -11.62   -0.50   -4.74   -0.80   -0.71   +5.23   +8.81   +8.48   -0.72   +0.20   -0.81
R2   |   26.951 |   25.211 |   26.840 |   25.298 |   26.828 |   26.765 |   29.278 |   30.492 |   30.465 |   26.769 |   26.935 |   26.835 ||   -6.46   -0.41   -6.13   -0.46   -0.69   +8.63  +13.14  +13.04   -0.68   -0.06   -0.43
R3   |   26.610 |   25.657 |   26.477 |   24.815 |   26.530 |   26.484 |   29.442 |   30.673 |   30.634 |   26.514 |   26.619 |   26.554 ||   -3.58   -0.50   -6.74   -0.30   -0.47  +10.64  +15.27  +15.13   -0.36   +0.03   -0.21
R4   |   26.449 |   25.928 |   26.366 |   24.508 |   26.375 |   26.328 |   29.553 |   30.806 |   30.759 |   26.345 |   26.453 |   26.390 ||   -1.97   -0.31   -7.34   -0.28   -0.46  +11.74  +16.47  +16.30   -0.39   +0.02   -0.22
R6   |   26.092 |   26.468 |   26.142 |   23.958 |   26.073 |   26.098 |   30.669 |   30.850 |   30.828 |   26.105 |   26.169 |   26.135 ||   +1.44   +0.19   -8.18   -0.07   +0.02  +17.54  +18.24  +18.15   +0.05   +0.30   +0.17
=== process order3.1
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   28.396 |   24.637 |   25.266 |   29.851 |   24.231 |   29.759 |   22.813 |   26.097 |   28.705 |   24.067 |   24.399 |   26.043 ||  -13.24  -11.03   +5.12  -14.67   +4.80  -19.66   -8.10   +1.09  -15.25  -14.08   -8.29
B    |   61.922 |   59.361 |   59.432 |   61.884 |   59.115 |   62.102 |   59.053 |   60.130 |   61.854 |   58.884 |   58.828 |   60.181 ||   -4.13   -4.02   -0.06   -4.53   +0.29   -4.63   -2.89   -0.11   -4.91   -5.00   -2.81
C    |   37.885 |   36.167 |   36.272 |   38.363 |   35.864 |   38.135 |   37.019 |   36.552 |   38.112 |   35.974 |   35.981 |   36.653 ||   -4.54   -4.26   +1.26   -5.34   +0.66   -2.29   -3.52   +0.60   -5.04   -5.03   -3.25
D    |   23.982 |   12.921 |   12.955 |   23.934 |   12.893 |   23.935 |   12.957 |   12.954 |   23.923 |   12.874 |   12.880 |   12.992 ||  -46.12  -45.98   -0.20  -46.24   -0.20  -45.97  -45.98   -0.24  -46.32  -46.29  -45.83
E    |   25.915 |   15.442 |   17.116 |   25.795 |   14.768 |   25.859 |   14.628 |   17.146 |   25.807 |   14.268 |   15.475 |   17.121 ||  -40.41  -33.95   -0.46  -43.01   -0.22  -43.55  -33.84   -0.42  -44.94  -40.29  -33.93
F    |   27.114 |   25.407 |   23.286 |   27.094 |   20.811 |   27.099 |   23.278 |   26.751 |   27.094 |   22.401 |   22.923 |   26.626 ||   -6.30  -14.12   -0.07  -23.24   -0.06  -14.15   -1.34   -0.07  -17.38  -15.46   -1.80
R1   |   27.429 |   28.839 |   27.317 |   27.302 |   26.094 |   27.176 |   24.366 |   29.826 |   27.254 |   27.276 |   27.195 |   29.873 ||   +5.14   -0.41   -0.46   -4.87   -0.92  -11.17   +8.74   -0.64   -0.56   -0.85   +8.91
R2   |   26.939 |   29.319 |   26.887 |   26.847 |   25.283 |   26.736 |   25.259 |   30.472 |   26.776 |   26.848 |   26.785 |   30.509 ||   +8.83   -0.19   -0.34   -6.15   -0.75   -6.24  +13.11   -0.60   -0.34   -0.57  +13.25
R3   |   26.605 |   29.472 |   26.560 |   26.549 |   24.807 |   26.489 |   25.689 |   30.680 |   26.546 |   26.552 |   26.500 |   30.669 ||  +10.78   -0.17   -0.21   -6.76   -0.43   -3.44  +15.32   -0.22   -0.20   -0.39  +15.27
R4   |   26.436 |   29.592 |   26.394 |   26.410 |   24.532 |   26.327 |   25.956 |   30.801 |   26.379 |   26.398 |   26.348 |   30.784 ||  +11.94   -0.16   -0.10   -7.20   -0.41   -1.82  +16.51   -0.21   -0.14   -0.33  +16.45
R6   |   26.175 |   30.889 |   26.139 |   26.123 |   23.968 |   26.089 |   26.447 |   30.850 |   26.123 |   26.128 |   26.120 |   30.869 ||  +18.01   -0.14   -0.20   -8.43   -0.33   +1.04  +17.86   -0.20   -0.18   -0.21  +17.94
=== process order3.2
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   28.362 |   24.603 |   25.224 |   29.826 |   24.260 |   28.823 |   22.824 |   26.118 |   28.733 |   24.017 |   24.401 |   26.054 ||  -13.25  -11.06   +5.16  -14.46   +1.63  -19.52   -7.91   +1.31  -15.32  -13.96   -8.14
B    |   61.956 |   59.406 |   59.363 |   61.878 |   59.159 |   62.170 |   59.013 |   60.146 |   61.849 |   58.857 |   58.877 |   60.125 ||   -4.12   -4.19   -0.13   -4.51   +0.35   -4.75   -2.92   -0.17   -5.00   -4.97   -2.96
C    |   38.018 |   36.194 |   36.241 |   38.374 |   35.916 |   38.119 |   37.030 |   36.607 |   38.182 |   35.958 |   35.842 |   36.681 ||   -4.80   -4.67   +0.94   -5.53   +0.27   -2.60   -3.71   +0.43   -5.42   -5.72   -3.52
D    |   23.958 |   12.923 |   12.943 |   23.933 |   12.899 |   23.922 |   12.948 |   12.942 |   23.945 |   12.873 |   12.932 |   12.978 ||  -46.06  -45.98   -0.11  -46.16   -0.15  -45.96  -45.98   -0.06  -46.27  -46.02  -45.83
E    |   25.802 |   15.427 |   17.099 |   25.753 |   14.768 |   25.925 |   14.646 |   17.138 |   25.776 |   14.294 |   15.460 |   17.141 ||  -40.21  -33.73   -0.19  -42.77   +0.48  -43.24  -33.58   -0.10  -44.60  -40.08  -33.57
F    |   27.099 |   25.426 |   23.292 |   27.077 |   20.822 |   27.094 |   23.284 |   26.748 |   27.071 |   22.402 |   22.927 |   26.599 ||   -6.18  -14.05   -0.08  -23.16   -0.02  -14.08   -1.30   -0.11  -17.33  -15.40   -1.85
R1   |   27.425 |   28.844 |   27.269 |   27.311 |   26.094 |   27.165 |   24.353 |   29.825 |   27.217 |   27.285 |   27.241 |   29.897 ||   +5.18   -0.57   -0.41   -4.85   -0.95  -11.20   +8.75   -0.76   -0.51   -0.67   +9.01
