=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
R3   |   21.743 |   21.168 |   21.763 |   21.223 |   21.787 |   21.805 |   24.096 |   24.993 |   24.988 |   21.791 |   21.762 |   21.725 ||   -2.65   +0.09   -2.39   +0.20   +0.28  +10.82  +14.94  +14.92   +0.22   +0.09   -0.08
R4   |   21.679 |   21.379 |   21.704 |   20.964 |   21.723 |   21.736 |   24.118 |   25.006 |   25.004 |   21.725 |   21.698 |   21.672 ||   -1.38   +0.12   -3.30   +0.20   +0.27  +11.25  +15.35  +15.34   +0.22   +0.09   -0.03
R6   |   21.599 |   21.753 |   21.620 |   20.502 |   21.638 |   21.639 |   24.197 |   24.994 |   24.983 |   21.640 |   21.623 |   21.602 ||   +0.71   +0.10   -5.08   +0.18   +0.19  +12.03  +15.72  +15.67   +0.19   +0.11   +0.02
=== process order3.1
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   22.520 |   19.969 |   19.979 |   22.598 |   19.095 |   22.605 |   18.111 |   20.553 |   22.588 |   19.142 |   19.651 |   20.383 ||  -11.33  -11.28   +0.35  -15.21   +0.38  -19.57   -8.73   +0.30  -15.00  -12.74   -9.49
B    |   51.747 |   49.828 |   49.907 |   51.838 |   49.124 |   51.879 |   48.826 |   50.294 |   51.798 |   49.249 |   49.607 |   50.221 ||   -3.71   -3.56   +0.18   -5.07   +0.25   -5.65   -2.81   +0.10   -4.83   -4.14   -2.95
C    |   31.742 |   29.823 |   30.168 |   32.079 |   29.433 |   31.672 |   30.348 |   30.185 |   31.748 |   29.747 |   29.847 |   30.216 ||   -6.04   -4.96   +1.06   -7.27   -0.22   -4.39   -4.90   +0.02   -6.29   -5.97   -4.81
D    |   19.974 |   10.964 |   10.985 |   19.962 |   10.923 |   20.025 |   11.059 |   10.984 |   20.016 |   10.916 |   10.964 |   10.986 ||  -45.11  -45.00   -0.06  -45.31   +0.25  -44.63  -45.01   +0.21  -45.35  -45.11  -45.00
E    |   21.039 |   12.720 |   13.414 |   21.046 |   12.033 |   21.055 |   12.370 |   13.462 |   21.034 |   12.042 |   12.702 |   13.415 ||  -39.54  -36.24   +0.03  -42.81   +0.08  -41.21  -36.01   -0.02  -42.76  -39.63  -36.24
F    |   21.980 |   20.764 |   19.302 |   21.984 |   17.843 |   22.053 |   19.426 |   21.500 |   22.026 |   18.845 |   19.239 |   21.440 ||   -5.53  -12.18   +0.02  -18.82   +0.33  -11.62   -2.18   +0.21  -14.26  -12.47   -2.46
R1   |   22.057 |   23.808 |   22.100 |   22.035 |   22.263 |   22.124 |   19.940 |   24.565 |   22.117 |   22.093 |   22.123 |   24.572 ||   +7.94   +0.20   -0.10   +0.93   +0.30   -9.60  +11.37   +0.27   +0.16   +0.30  +11.40
R2   |   21.837 |   24.032 |   21.858 |   21.822 |   21.653 |   21.905 |   20.786 |   24.955 |   21.908 |   21.866 |   21.909 |   24.967 ||  +10.05   +0.10   -0.07   -0.84   +0.31   -4.81  +14.28   +0.33   +0.13   +0.33  +14.33
R3   |   21.741 |   24.076 |   21.770 |   21.726 |   21.215 |   21.794 |   21.151 |   24.985 |   21.797 |   21.763 |   21.800 |   24.985 ||  +10.74   +0.13   -0.07   -2.42   +0.24   -2.71  +14.92   +0.26   +0.10   +0.27  +14.92
R4   |   21.687 |   24.106 |   21.709 |   21.680 |   20.974 |   21.724 |   21.365 |   25.010 |   21.723 |   21.706 |   21.728 |   25.018 ||  +11.15   +0.10   -0.03   -3.29   +0.17   -1.48  +15.32   +0.16   +0.09   +0.19  +15.36
R6   |   21.606 |   24.180 |   21.623 |   21.605 |   20.511 |   21.634 |   21.750 |   24.991 |   21.639 |   21.622 |   21.636 |   24.995 ||  +11.91   +0.08   -0.01   -5.07   +0.13   +0.66  +15.66   +0.15   +0.07   +0.14  +15.68
=== process order3.2
mix  |     base |    m4s4h |       s4 |   baseAA |     t4p8 |     dsp0 |      cw4 |     m4s4 |   dsp0AA |       t4 |      s4h |   m4s4AA ||   m4s4h%      s4%  baseAA%    t4p8%    dsp0%     cw4%    m4s4%  dsp0AA%      t4%     s4h%  m4s4AA%
A    |   22.552 |   19.972 |   19.964 |   22.643 |   19.116 |   22.598 |   18.157 |   20.433 |   22.605 |   19.130 |   19.588 |   20.392 ||  -11.44  -11.47   +0.40  -15.24   +0.21  -19.49   -9.39   +0.24  -15.17  -13.14   -9.58
