### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
R1   |   33.076 |   37.330 |   33.202 |   37.046 ||  +12.86   +0.38  +12.00
R2   |   30.511 |   38.349 |   31.024 |   38.069 ||  +25.69   +1.68  +24.77
R3   |   29.774 |   38.509 |   30.267 |   38.234 ||  +29.34   +1.66  +28.41
R4   |   29.325 |   38.614 |   29.753 |   38.360 ||  +31.67   +1.46  +30.81
R6   |   28.550 |   38.618 |   28.897 |   38.385 ||  +35.26   +1.21  +34.45
mix  |   t4p8_0 |   m4s4_1 |   t4p8_2 |   m4s4_3 ||  m4s4_1%  t4p8_2%  m4s4_3%
A    |   28.958 |   31.802 |   29.209 |   31.785 ||   +9.82   +0.87   +9.76
B    |   67.589 |   69.421 |   67.430 |   69.611 ||   +2.71   -0.24   +2.99
C    |   44.200 |   45.341 |   44.253 |   45.457 ||   +2.58   +0.12   +2.84
D    |   14.551 |   15.259 |   14.520 |   15.106 ||   +4.86   -0.21   +3.81
E    |   18.464 |   21.556 |   18.181 |   21.769 ||  +16.75   -1.53  +17.90
F    |   27.504 |   34.480 |   27.598 |   34.826 ||  +25.36   +0.34  +26.62
R1   |   33.033 |   37.427 |   33.087 |   36.990 ||  +13.30   +0.16  +11.98
R2   |   30.535 |   38.351 |   31.095 |   38.020 ||  +25.60   +1.83  +24.51
R3   |   29.792 |   38.502 |   30.086 |   38.247 ||  +29.24   +0.99  +28.38
R4   |   29.349 |   38.592 |   29.803 |   38.353 ||  +31.49   +1.55  +30.68
R6   |   28.563 |   38.608 |   28.913 |   38.401 ||  +35.16   +1.23  +34.44
### p-m4s4-t4p8 : m4s4 t4p8 m4s4 t4p8
mix  |   m4s4_0 |   t4p8_1 |   m4s4_2 |   t4p8_3 ||  t4p8_1%  m4s4_2%  t4p8_3%
A    |   31.724 |   28.857 |   31.892 |   28.923 ||   -9.04   +0.53   -8.83
B    |   69.490 |   67.732 |   69.467 |   67.701 ||   -2.53   -0.03   -2.57
C    |   45.405 |   44.448 |   45.571 |   44.217 ||   -2.11   +0.37   -2.62
D    |   15.260 |   14.518 |   15.111 |   14.530 ||   -4.86   -0.97   -4.78
E    |   21.639 |   18.132 |   21.662 |   18.652 ||  -16.21   +0.11  -13.80
F    |   34.517 |   27.673 |   34.825 |   27.477 ||  -19.83   +0.89  -20.39
R1   |   37.279 |   32.939 |   37.141 |   33.022 ||  -11.64   -0.37  -11.42
R2   |   38.330 |   30.855 |   38.066 |   30.525 ||  -19.50   -0.69  -20.36
R3   |   38.481 |   30.038 |   38.229 |   29.777 ||  -21.94   -0.65  -22.62
R4   |   38.587 |   29.588 |   38.339 |   29.335 ||  -23.32   -0.64  -23.98
R6   |   38.614 |   28.851 |   38.379 |   28.586 ||  -25.28   -0.61  -25.97
mix  |   m4s4_0 |   t4p8_1 |   m4s4_2 |   t4p8_3 ||  t4p8_1%  m4s4_2%  t4p8_3%
A    |   31.678 |   28.818 |   31.858 |   28.984 ||   -9.03   +0.57   -8.50
B    |   69.667 |   67.349 |   69.490 |   67.548 ||   -3.33   -0.25   -3.04
C    |   45.340 |   44.412 |   45.493 |   44.189 ||   -2.05   +0.34   -2.54
D    |   15.256 |   14.522 |   15.115 |   14.531 ||   -4.81   -0.92   -4.75
E    |   21.599 |   18.158 |   21.691 |   18.617 ||  -15.93   +0.42  -13.81
F    |   34.542 |   27.571 |   34.862 |   27.453 ||  -20.18   +0.93  -20.52
R1   |   37.284 |   33.084 |   37.047 |   32.980 ||  -11.26   -0.64  -11.54
R2   |   38.329 |   30.938 |   38.064 |   30.529 ||  -19.28   -0.69  -20.35
R3   |   38.498 |   30.027 |   38.250 |   29.794 ||  -22.00   -0.64  -22.61
R4   |   38.584 |   29.640 |   38.370 |   29.350 ||  -23.18   -0.56  -23.93
R6   |   38.607 |   28.839 |   38.379 |   28.561 ||  -25.30   -0.59  -26.02
### p-m4s4-m4s4h : m4s4 m4s4h m4s4 m4s4h
mix  |   m4s4_0 |  m4s4h_1 |   m4s4_2 |  m4s4h_3 || m4s4h_1%  m4s4_2% m4s4h_3%
A    |   31.731 |   31.238 |   31.795 |   30.725 ||   -1.55   +0.20   -3.17
B    |   69.507 |   69.225 |   69.422 |   68.772 ||   -0.41   -0.12   -1.06
C    |   45.293 |   45.203 |   45.420 |   45.005 ||   -0.20   +0.28   -0.64
D    |   15.267 |   15.102 |   15.114 |   15.032 ||   -1.08   -1.01   -1.54
E    |   21.614 |   21.226 |   21.716 |   20.451 ||   -1.79   +0.47   -5.38
F    |   34.577 |   33.165 |   34.809 |   32.468 ||   -4.08   +0.67   -6.10
R1   |   37.379 |   35.469 |   37.003 |   35.553 ||   -5.11   -1.01   -4.89
R2   |   38.328 |   36.178 |   38.038 |   36.260 ||   -5.61   -0.76   -5.39
R3   |   38.498 |   36.297 |   38.250 |   36.344 ||   -5.72   -0.64   -5.60
R4   |   38.576 |   36.372 |   38.381 |   36.404 ||   -5.71   -0.51   -5.63
R6   |   38.624 |   36.440 |   38.395 |   36.430 ||   -5.66   -0.59   -5.68
mix  |   m4s4_0 |  m4s4h_1 |   m4s4_2 |  m4s4h_3 || m4s4h_1%  m4s4_2% m4s4h_3%
A    |   31.697 |   31.198 |   31.782 |   30.785 ||   -1.58   +0.27   -2.88
B    |   69.614 |   68.966 |   69.417 |   68.841 ||   -0.93   -0.28   -1.11
